category,sub_category,crimeaditionalinfo
Online Financial Fraud,Internet Banking Related Fraud,"FRAUD THROUGH   Internet Banking Related Fraud
 BANK   Union Bank of India including Andhra Bank and Corporation Bank
 ACCOUNT  NO  



TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Any Other Cyber Crime,Other,"I placed an order on  dec from carteefy online website rs  for wardroom manage cover  it was buy  get  free and i placed the order and got the delivery on  dec and it was COD
When i checked the product i found that it contained only  pieces
then i request the  carteefy online website for return but my account was blocked from there end

I felt cheated an the quality was very bad"
Online Financial Fraud,Internet Banking Related Fraud,cell no  one link coming that clik after one otp coming my cell no  fullfill thats otp and with second debit in my accoun  massage recived after i am call as same no that is  ringing that say after  hours coming your amount no prblem that says person
Sexually Explicit Act,,"This complaint is against Mrs Jayashree Raghavan She has sent offensive audio messages recorded by her through whatsapp to my Aunt which are defamatory hurtful and sexually explicit comments against my mother I came to know from my Aunt Mrs Baghya that Jayashree has sent  audios to her Jayashree has been creating false rumors against my mom with criminal intention to insult hurt and damage her reputation due to apparent hatred and illwill without any basis She transmitted rumors that my mom has illegal relationship with her blood brother Mr Raghavan In addition she has also spoken badly about my father and brother I received these messages from my Aunt via forward I also came to know that she has spoken in similar manner to many of my other relatives as well She has deliberately degraded the character of my mom among my relatives and society at large

I understand that her relationship with Mr Raghavan is not smooth due to internal family issues So he stayed in our house for few months She called me to send him Mr Raghavan out which we negated due to family bonding To comply to her request she deliberately transmitted wrongful rumors about my mother causing immense harm to my family

My mother is  years old retired Blood Pressure BP patient living with me son and her husband We are unable to tolerate the verbal abuse and spreading of wrong rumors about my mother and our family This has caused immense mental torture to my family"
Any Other Cyber Crime,Other,Received a unknown call from someone who told me to be his own relative from the following number  and amount debitted from the account was  he was also asking for the link to transfer money Please help me with the fraud done with me
Online Financial Fraud,UPI Related Frauds,upi transactions
Sexually Obscene material,,"Ladki ko  din se lagatar message kr rha h
Bolta hai milne aa mujse baat kr 
She is scared after this incident 
Please help her without knowing her Family 
Someone again  again Create fake account use her photos with  improper  username 
Please arrest this Type of Mental Peoples 
          "
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Name SANGITA 
mob
Addresh desiyo bans pal gav  
Pin code 
PS  CHB JODHPUR
Dist  jodhpur 
Email rajdewasaipalgmailcom

credit  sbi     
 
 date  time pm  amount rupay 

total amountrupay

Mere pass sbi credit card customer ka bol kar call aaya aur muje mere credit card ki online transcation limit start karne ka bol kar muj se fraud kar ke ye transaction kiya gaya
isiliye plz is transaction amount ko stop ya cancel karwa kar ye amount waps dilwane ka kasth kare
dhanywad

jis number se call aaya wo ye  mob the is number se fraud kiya gaya"
Any Other Cyber Crime,Other,It all happened nearly  months ago I was going to buy a phone from him via olx i did not know that the phone was on EMI there was a language barrier between us After learning that it was on EMI I told him that I would not buy it he did not even send me the phone my actions were justified he said that he will give it back and that he was not a cheap cheat So I tried to trust him and gave him time to give it back but he only gave me rs out of a sum of rs On February I texted him again and he begged me to give him a month to give back what he owed and that if he were not able to give it back he told me to report him which I am doing right now I paid him through my brothers account and phone as my phone was getting old and had severe charging problem This is his number  
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"SCAMMER CALLED ME AND SAID I AM FROM SBI BANK
I NEED TO SEE THE CARD 
HE TOOK ACCESS OF THE PHONE AND TOOK OUT ALL THE MONEY FROM MY CREDIT CARD
I DID NOT KNOW ABOUT THE INCIDENT WHICH OCCURED ON  JANUARY 
I GOT TO KNOW ABOUT THE INCENT AFTER  DAYS OF INCIDENT"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI GOOGLE PAY  Fraud		
BANK  PUNJAB NATIONAL BANK 
ACCOUNT NUMBER  
TOTAL AMOUNT  
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION 
"
Online Financial Fraud,Internet Banking Related Fraud,FINANCIAL FRAUD
Cyber Attack/ Dependent Crimes,Malware Attack,"I never imagined something like this could happen to me, especially since I'm so cautious. But then I started noticing that my online activity felt different, slower even. I can't even describe it well because everything seemed normal, except for the fact that I was constantly getting logged out of my accounts. I don't know how, but itâ€™s like they knew everything I was doing, even though I was trying to be careful. Itâ€™s terrifying to think about. The more I tried to fix it, the more problems came up. My work account was stange, and then I got locked out of everything. I donâ€™t think Iâ€™ve ever felt this violated before. My privacy is completely shattered, and I canâ€™t do anything to make it stop. Even my tablet isnâ€™t working right anymore. Itâ€™s so stange how everything just fell apart after that one email."
Online and Social Media Related Crime,FakeImpersonating Profile,spread false talk about me  my wife to someoneand threating me  my wifeits happen on regular basis that he threads me or my wife  its also a fake accounthe also try to contact with my office staff and also thread them
Any Other Cyber Crime,Other,I am victim of cyber fraud girl name dipika whose mobile no  whats no  diposite in mobile number  in Google pay I have deposited the sum of to debit roy now they are harrassing means calling me again again and because of this my mental peace has been totally distrubed
Online Financial Fraud,Fraud CallVishing,"I got a call from mobile  on  Jan around  pm and caller told me that I recently purchased Noise Evolve watch and  purchaser got prize as in company promotion event She ask me to choose  out of  gifts so I choose Laptop She told me all my purchase details like watch type my full address price etc Caller told me to avail gift prize I need to purchase gift card of  and out of which  will be refunded back to account Since she told me all my purchase details I though this is guanine call and I made payment of  through google pay as per account details provided by her That account is with SBI mumbai and with name GoNoise Then she asked me to send payment confirmation screenshot on whatsapp no  Then I got a call and caller told me that he is from dispatch department of Noise company He told me within  hours I will get my Prize but since their warehouse is in Karnataka and my address is in Maharashtra I need to pay  per GST which they will refund immediately on call Then I got dougt so refused to pay GST and asked me to refund my  Then he said ok and to get refund he asked me to open GPay and open Fund Transfer and asking me to put their account so I asked him  how come I need to pay your account details to get refund in my account then he disconnect the call and never pickup my call 
Please help me to get my  and also investigate how my personal information leaked from Noise company
SBI blocked UPI ID"
Online Financial Fraud,UPI Related Frauds,Amount debited fraudulently from my account
Online Financial Fraud,Internet Banking Related Fraud,account hacked with Adhar finger print
Online and Social Media Related Crime,FakeImpersonating Profile,Ordered from Bassike Clothing   clothing items of total Rs Found this page through instagram ad After hrs of placing the order I started to call and send messages on their Instagram account for followup of my order confirmation They instantly blocked me and deleted my comments from there page infact I noticed they deleted other comments also who enquired for there order status on one of there recent Instagram post I have attached a screen shot where they have blocked me on Instagram and not replying to my questions Pls help me here as I cannot go to any police station or any sort of run around as I have gone through leg surgery Pls help me
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Most respectfully I want to file cyber crime complaint on my HDFC bank credit card no  which was used by someone on th November  for this I have already filed NCRB vide complaint no  dated   

I wish to inform you that I have received mail on my mail  buntysethihotmailcom for Netflix renewal and I accept and  I have received massage from HDFC credit card for Rs  on  which was not authorized by me I immediately informed the bank and they block my card"
Online Financial Fraud,Internet Banking Related Fraud,caller informed he recevie one sms your account will bloack today please update your pan numberhe enter all details
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"I Shweta Aggarwal residential address  S Suraj Nagar Azadpur Delhi  having a fraud call on my contact no 
First caller tell to update KYC in my AIRTEL account and I started to follow instructions first I install a mobile app teamviewer quick support and then he told that I have update my kyc with AIRTEL on his nd instruction starting entering my debit card details on my smartphone after that he hacked my smart phone thereafter I had no control on my phone and start receiving continuous OTP and deduction messages from my bank account through debit card  PNB ac no 
st deduction Rs 
nd deduction  Rs 
rd deduction  Rs 
th deduction  Rs "
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,Subodh Sulakar and Rebecca Wahlang has been causing nuisance for quite some time now in my life and also our family Subodh Sulakar  late s tall and dark uncertain whether he resides in Mumbai or nasik works at some cement factory He has an affair with my aunt Rebeca Wahlang and has been blaming our family for brainwashing our aunt Therefore he has been harassing us especially me to the point that he even hired people to stalk and spy on us He has been mentally harassing and verbally abusing and threatening us for quite some time and this has caused immense trouble at our end He has been sending messages from multiple numbers and not just the one I uploaded here including Rebeca s number since he has access to all her accounts and phone numbers
Any Other Cyber Crime,Other,"Looking for work from home job they provide link and they asked to done tasks by paying amount 
For paying tasks they will give commission and we can get back our amount

I paid but i could not be able to get back money

please help to get back money"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"homestore is a fraud merchant
placed an order for headphones and later realized its a fraud website tried to seek the return of money by calling no mentioned on the website but nobody picks up
please help me recover the money and shutdown this website"
Any Other Cyber Crime,Other,Dear sir kuch samay pahle mene in farji app se loan liya tha mujhe in app ke baare me jaankari nhi thi aur me loan chuka nhi paya kyonki ye  din me hi repayment karwaate h itni jaldi me kaha se laata aur ab ye farji apps bahut harrasment kr rhe h inhone mere saare contact details nikaal liye h aur ye mere saare contact pr call kr rhe h aur meri id adhar cardpan card ko block krne aur galat use krne ki dhamki de rhe h
Online Financial Fraud,UPI Related Frauds,i had received call from this no  by true caller name sharma ji at  pm on  jan  he asked me to receive payment on my father behalf but inspite of receipt of payment mony got deducted from my account
Any Other Cyber Crime,Other,I received a phone on th January  at  am telling me i need to submit documents for verification to keep my mobile number active otherwise it will be blocked in  hours Today I received an SMS stating the same On calling Vodafone customer service I was advised they do not need any such information from me and that it was a fraud call Request your assistance in looking into this matter please
Online and Social Media Related Crime,Profile Hacking Identity Theft,I let a youtuber sell my id but he hacked my bgmi id and link other twitter account youtuber name JMD GAUTAM YT   and he know back my id so piz help me sir pizzzzzzzzzzzzzzzzzzzzzzzzzzzssszzzzzzzzzzzzz
Any Other Cyber Crime,Other,WANNA MONEY REFUND FROM BLACKMAILER WHO IS THREATING OF POSTING VIDEOS IN SOCIAL MEDIA Total lost an amount of Rs
Online Financial Fraud,UPI Related Frauds, call customer care fraud
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH PHONE PAY 		 
BANK UNION BANK OF INDIA  
ACCOUNT NUMBER 
TOTAL AMOUNT  	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,Internet Banking Related Fraud,INTERNET BANKING FRAUD 
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,"Sir i frauded by  by texting
This number is also supported girl of black mailer 
I am in deep trouble now please help me sir
He is a broker of girls he forced me to give money 
First he sent some pictures of girls and asked to choose Then after step by step he asked    eventually and i paid rs till now and now he is asking  more when i denied he is black mailing me through stole my whatsapp dp and using inappropriately on facebook
I am in police station siddipet one town they adviced me to complain in crime brach
Please sir i am a woker and my hard earned money is stilen and also my respect is also in danger"
Any Other Cyber Crime,Other,"Froud loan application name is lend mall
Mukund security and investment Ltd
In this application they are providing a loan amount of  for  days they are charging  rs for  days rs intrest  they are torchering me  in WhatsApp thay took my all contacts and called everyone and using bad words so kindly remove From play store lend mall  and lot more in one application now also thay calling in different numbers but thay are not using own numbers i dont know what to do so kindly take my complaint and do the needful"
Online and Social Media Related Crime,Profile Hacking Identity Theft,They are harrasment me and asking for loan amount I am saying they are hack my all contact and blackmail me photo media also hacking abusing me so much please help for these fraud they scolding me and asking money please safe me for this hacker
Online Financial Fraud,UPI Related Frauds,"Dear sir
        Please stop the fraudulent transaction and refund the amount  in source account
 Regards 

"
Online Financial Fraud,Fraud CallVishing,"i got call one of person who gave me onida tv but that onida tv is not real that they sent to me and i have paid amount to him  for it and tv local not onida tv brand i have called to them but they are not receiving my call but they are active on call please take necessary action from them  they are also operate fraud call center one of the girl name Radhika and tv deleivry guy shani gautam 

Rahul tripathi  manager
Shani gautam  Delivery boy
Radhika "
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Financial Fraud through debit card without giving the OTP Also the OTP was sent very late after the fraud had already been done A total of  Rs was debited through paytm The fraudster used my Debit card details to add money in their paytm account We complained to paytm regarding the same and they could only give me the last four mobile no details which was 
Online Financial Fraud,UPI Related Frauds,Fraud Call
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"FRAUD THROUGH  DEBIT CARD
BANK    BANK OF BARODA
ACCOUNT NUMBER   	
TOTAL AMOUNT 	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT  ACCOUNT AND TAKE NECESSARY ACTION"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,"           

 

                         
                                                                                                                  

                       

                                                                                                                                                                          
                                                                                                                                                           
                                                                                                                                                         "
Online Financial Fraud,UPI Related Frauds,The person is created a fake account as my known person and asked as help as sum of rupeesso i beleive that they person is knowso they gave a phone number of so i sent money to they number in Google payso switched off the phone and not responding
Online Financial Fraud,Internet Banking Related Fraud,"Only received a message of amount being deducted but do not know how
And then checked and found amout deducted
ICICI Bank is not supporting too
Please help
In need of money 
Had mailed bank but there is no reply"
Cyber Attack/ Dependent Crimes,Data Breach/Theft,"I never imagined something like this could happen to me, especially since I'm so cautious. But then I started noticing that my online activity felt different, slower even. I can't even describe it well because everything seemed normal, except for the fact that I was constantly getting logged out of my accounts. Honestly, itâ€™s such a mess, and I donâ€™t even know where to start. Iâ€™ve contacted support, but they keep giving me the runaround. The more I tried to fix it, the more problems came up. My social media was frezzing, and then I got locked out of everything. I feel so helpless, like thereâ€™s nothing I can do to fix this. No matter how many times I change my password, itâ€™s like someoneâ€™s always one step ahead. Even my laptop isnâ€™t working right anymore. Itâ€™s so stange how everything just fell apart after that one email."
Cyber Attack/ Dependent Crimes,Malware Attack,"My friend mentioned something like this happened to them a few months ago, but I thought it was a one-off. Then, suddenly, I got this weird notification asking me to update my password, but the message didnâ€™t look like the usual ones I receive from the app. It looked a bit off. I don't know how, but itâ€™s like they knew everything I was doing, even though I was trying to be careful. Itâ€™s terrifying to think about. The more I tried to fix it, the more problems came up. My work account was hackd, and then I got locked out of everything. I donâ€™t think Iâ€™ve ever felt this violated before. My privacy is completely shattered, and I canâ€™t do anything to make it stop. Even my phone isnâ€™t working right anymore. Itâ€™s so stange how everything just fell apart after that one email."
Sexually Explicit Act,,Respected sir Based on my girlfriend call recording i had a doubt that she is cheating and doing as a model in stripchat This is the starting point whether my girlfriend is cheating me or not after getting into that stripchat website i have collected a lot informations like in that under  years also doing as a modelsThere are many studio who maintain girls and taking money into tokens formAnd this was happening more in West Bengal North Paraganas Kanchrapara  There are many people included in this and there is a big network running and the scam is happening in alot As i have attached only for your reference and i have video screenRecordings alot which i cant able to attach through online because the proofs are in count of GB So please kindly take action on this to rescue alot of innocent girls who are got blackmailed and dragged into thisPlease do the needful Very Soon the proofs which i have surely without any damage those proofs will reach youplease take action and one more thing is even My Girl Friend cheated and she doing as ModelPlease the neccessary actions to control online sex scam
Online Financial Fraud,UPI Related Frauds,complainant received a massage to update pan card through a link when she clicked the link amount was deducted from her account
Online Financial Fraud,Internet Banking Related Fraud,"Context I bought and returned an item through Amazon and wanted to contact ICICI about changes in my EMI when searched online I quickly scrolled through and found this number in big font I quickly dialed this number initially didnt connect later it was transferred to another agent he told me to download AnyDesk app I was hesitant initially as he was speaking Hindi and I told him I cant understand Hindi he switched to English but had a thick accent and couldnt make proper sentences in English and made it as so that I didnt understand him properly so his suggestion was to download that app I did and he told me to share my screen I started sharing and luckily iMobile gave me a warning that this app maybe used for hacking etc even while accepting terms of app I was hesitant but did it because I thought I had to pay extra interest for the cancelled EMI

I am aware of these scams and watched many videos so I was able to identify however late it was atleast

So I found the website which gave me the number it is added in the picture laterpng I didnt open the site the first time later opened the site after disconnecting and UI looks like it was made by a toddler please take this site down and track these landline numbers

Thanking you for you service as always"
Online Financial Fraud,DematDepository Fraud,Respected Sir I have seen in Instagram one person post like to earn money easily at home So I pinged her she told its any online mobile work and need to pay  for registration later she asked  for domain verification then finally she told to pay  and said full amount which is paid will be refunded one the domain registration is completed now I got to know she is fraud and cheating more people in online Please take strict action on her and save more people and recovery my amount Thanks
Online Financial Fraud,EWallet Related Fraud,"I booked a cab via Rajendra Singh Vicky Saini of delhicaboutstationcom and I paid an advance booking amount of rs  but the pick up for my aunt who was coming from Canada got cancelled as they had tested positive for covid virus before boarding the flight I was told by Vicky Saini that my amount would be refunded if cancellation takes place I informed the driver Anuj Kumar  HR  AB   aswell as the owner well in advance about the cancellation Vicky Saini had stopped replying to my messages on whatsapp and even denied me my rightful refund After my repeated efforts to try to contact him and sought refund I decided to file an eFIR against such fraudsters 
The name of the company is Delhioutstationcab their website is delhioutstationcabcom 
Address  DDA Flats Kalkaji Block B  
contact number    
  

I request the Delhi Police to take strict action against such fraudsters and they have a tendency to do such fraud again in future 

Thank You"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Hi
Today I received a call from number  in morning and he asked me to share my debit card details and asked me to download an app called  Anydesk  while on call I suspected that it could be a fraud call and I disconnected

After some time I called and had a discussion on this number  he also abused me when I pointed that you are doing wrong Once he told that he is speaking from noida sector 

Please help me out to find this fraud

Thanks
Sanjay"
Online Financial Fraud,UPI Related Frauds,"I GOT WHATSAPP MSG ON MY MOBILE NUMBER FROM  ON  FROM SOME UNKNOWN PERSON WITH PROFILE PICTURE POSING AS MANAGING DIRECTOR OF RAMDEV FOOD PRODUCTS PVT LTD WHERE I AM WORKING AS MANAGERBANKING AND INSTRUCTED ME TO URGENTLY MAKE  PAYMENTS THROUGH RTGS IN  DIFFERENT ACCOUNTS SO I MADE THE REQUISITE PAYMENTS AND INFORMED REFERENCE NO OF PAYMENTS THEREAFTER SOMETHING TRIGGERED ME AND I ENQUIRED FROM OUR MANAGING DIRECTOR ABOUT THE SAME
HE SAID THAT HE HAD NOT GIVEN ANY INSTRUCTIONS FOR ANY OF THE ABOVE PAYMENTS
SO WE LODGED COMPLAINT ABOUT FRAUDULENT NET BANKING TRANSACTIONS ON THE CYBER CRIME PORTAL NO  AND ALSO IN THE CYBER CRIME CELL OF AHMEDABAD GUJARAT"
Online Financial Fraud,Internet Banking Related Fraud,"Citizen Details
Name  babita bunkar  Address ramdevra  teh pokran   Dist jaisalmer   PS ramdevra  PinCode  EmailId babitabunkargmailcom   Citizen Mobile No   Bank Name SBI BANK Account no   IFSC CODESBIN  Total Froud Amount  rs  Date  JAN 

Froud By anydesk application download karwa kar paisr transfer karyaye PAID BY BANK ACCOUNT

Transaction Detailssuchnkarta ke pass transaction id nhi hai
Time pm  Amount rs
Time pm  Amount rs

 Total Froud Amount  rs  Date  JAN 


Froders Details
Contact No 





"
RapeGang Rape RGRSexually Abusive Content,,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife Â a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,UPI Related Frauds,The fraudster who transacted with me is still online He is not willing to refund my money at any cost Please help me in getting this resolved as early as possible Also can you please block the bank details of this fraudster and inform the concerned bank The fraudster name is Mukesh Sharma and his number is   
Child Pornography CPChild Sexual Abuse Material CSAM,,"My husband whole day sit on internet and do dirty chat with dirty ladies online leaving behind all home issues
There is an incidences when all critical task at home is pending and my husband is busy on all nusances on internet despite of all several efferts"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,I got a PayPal notification from seller saying the amount has been refunded I had made a purchase on th January  but the seller refunded the amount on th January  But I got a Mail and SMS from HDFC back saying the same amount has been deducted debited
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,As reported by the victim total amount of rupees 
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Some unknown person approached me and asked me a loan and I also agreed and accepted but now totally changed their terms and making to pay more amount which I denied So now they hacked my mobile and all my contacts and threatening me mobile number is 
Online Financial Fraud,UPI Related Frauds,                                            
Online Financial Fraud,Internet Banking Related Fraud,Financial Fraud
Sexually Obscene material,,Hi yesterday night aprox  pm i got the msg on dating app that whatsapp me and they give me their number so i text him hi then suddenly i got a video call one women was naked on a call then they send me the video chat recorded video and say i will upload this video on YouTube otherwise send money  then i tried to scared him that i am from india Army why your doing this fraud and all and i blocked him and i didnt pay anything Today morning  am i got the call from YouTube manager they are saying that i have got your video i will upload this i cut the call and block him then same person called me from another number and telling the same i blocked them too then i think what to do so i came here i think they are still active help me These are the numbers of blackmailers 
RapeGang Rape RGRSexually Abusive Content,,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife Â a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Sexually Obscene material,,"Dear Sir  Madam
I am a student of St Josephs College Hassan In the past few days a Anonymous person has created a page in the name sjc trolls and is indulged in posting videos of girls and boys of our college which are against the students will The person also abusing in bad words to those who tried to contact him
I request you to verify this account and take action accordingly
The link for the instagram page is below
httpsinstagramcomsjctrollsutmmediumcopylink"
Sexually Explicit Act,,Harrasmentthreatening sexually abusive and nuditythat persong was threatening me of sharing nude pics which I have no idea about itthis kind of mental torture being a mother of girl child and a wife is not acceptable
Online and Social Media Related Crime,FakeImpersonating Profile,A fake id has been created by my name and asking for money He is sending friend request to my facebook friends and after confirmation he is asking for money by giving his phonepe and google pay number ie  Please check the issue as soon as possibleWaiting for your immediate action
Any Other Cyber Crime,Other,"They just msgd with false number 
then suddenly sent one vulgar video by editing with my face and then asking for money of amount  and blackmailing to upload video 
They msgd and called on whatsapp only 
Adding numbers here

"
Online and Social Media Related Crime,Cheating by Impersonation,"url  headstonesmyshopifycom

There was an ad on facebook for earphones by this site clicked on it and bought earphones of value Rs  Got a sms 
 Transaction No  for Rs  done for POOJA HARDASBHAI PAGHDAR has succeeded from payu team 
Today the website was deleted and the contact details are not working"
Online Financial Fraud,Fraud CallVishing,The person is registered as Sai housemaid services on Google pay and claimed to provide house maid services The person asked for advance payment but the services were never provided after the amount was transferred The person has blocked our contact number on WhatsApp and cell phone The calling number and Whatsapp number of the fraudster is 
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,On  I was saw a mobile number  on google for liquor merchant to provide the online liquor at nearest place I called to that number and he asked the confidential detail of my credit card No  of SBI Bank After that he made to transactions of Rs    from my credit card
Any Other Cyber Crime,Other,I had received a link which was forwarded to me by someone and when I opened the link it asked me to register After registering it asked me to invest and thereafter complete a task and earn profit They used to send a code in the link and through that code we had to register our mobile no and email ID and passwords to recharge and so on and only then our home page opened I invested total amount of Rupees  They neither return my money nor did allow me to access the amount to complete the task
RapeGang Rape RGRSexually Abusive Content,,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife Â a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,UPI Related Frauds,"Some day ago when I using my whats app some unkown message come to my whats app The person tell me about part time job and earning money with some free time after that the person give me full detail of the company and provide the website and link of the company and tell me if u want to earn money then text me  After that day I text the person and start the recharge of the company and getting to complete the task in  minutes and earn a money  I have recharg Rs and getting Rs in that day After that the person will provide me more detail and tell me more you recharge more you earn And after the recharge of Rs the company will demand more money from me I pay the  and become a part time member of company but they demand more money with the task And I totally lost my  Rs in that task and company this company is fake and fraud
Please take strict action against this fraudsters"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI FRAUD  GOOGLE PAY
BANK BANK OF MAHARASHTRA 		
ACCOUNT NUMBER 
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION

"
Online Financial Fraud,EWallet Related Fraud,"Citizen Details 
Address   Name  RAKESH YADAV  MOBILE NO    DIST JAIPUR  PS CHOMU     PINCODE   EMAIL ID  rakeshyadavgmailcom  Citizen Ke sath  Total Fraud Amount   Rs   DATE  

Fraud By  PAYTM BANK AC   
Transction id  T  UTR     Amount Rs TIME   PM 
Transction id    T  UTR    Amount Rs TIME    PM 
Transction id  T UTR    Amount Rs TIME    PM 
Transction id  T UTR     Amount Rs TIME    PM  
Transction id  T UTR    Amount Rs TIME    PM 
Transction id  T UTR    Amount Rs TIME    PM 

BANK  RBL AC NO    BRANCH  HADOTA

Transction id  T  UTR    Amount Rs TIME    PM 
Frauder Detals  Suchna karta ne bataya ki unke pass unknown no    se video call aaya or nude video banakar video viral karne ki dhamki dekar fraud phone pay no  per  paise transfer karva liye "
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH PHON PE
BANKUnion Bank of India including Andhra Bank and Corporation Bank
AC NO	
TOTAL AMOUNT	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,UPI Related Frauds,CALLER INFORMED THAT HE LOST MONEY THOUGH GOOGLE PAY THIS IS MAINLY A GROUP OF PEOPLE WHO ARE WORKING TOGETHER AND THEY USE MANY PAYTM ID FOR TRANSACTION SOME ARE LIKE THIS PAYTMPAYTMPAYTM AS MY SCREEN SHOT GUIDES THIS PEOPLE ARE VERY DANGEROUS
